Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,1730015528375181.8,880406.25,2,0,144,0,78,66,72.0,6.0,0,0,0,0,163.56085613885637,2.2716785574841163,440203.125,440203.125,880406.25,0.0,880406.25,880406.25,0.0,880406.25,880406.25,0,0,0,0,0,0,0,0,0,44,0,2.2716785574841163,0.0,66,78,72.0,6.0,36.0,0,0,1,0,1,0,0,0,0,72.0,72.0,0,nan,nan,nan,nan,nan,nan,2,144,0,0,501,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015468129416.0,61127423.25,8,7,2598,2357,2064,66,324.75,657.6997320206235,1441,66,336.7142857142857,484.0055236655626,81.06018111928185,0.24538904476069176,4075161.55,12153916.614505671,47878105.5,0.0,61127423.25,8732489.035714285,16610901.784147223,47878105.5,514.25,47974272.25,7995712.041666667,17860892.430342946,47933877.0,323.5,2,2,0,0,232,232,0.13087415720570228,0.11451488755498948,66,2064,330.3333333333333,583.1475132607719,340061.0222222222,1,2,0,4,13,0,0,0,1.1428571428571428,330.3333333333333,324.75,336.7142857142857,nan,nan,nan,nan,nan,nan,8,2598,7,2357,64240,65535,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015528071859.0,1186692.75,4,0,264,0,66,66,66.0,0.0,0,0,0,0,222.46702021226642,3.370712427458582,296673.1875,490131.3876055766,1145120.0,0.0,1186692.75,395564.25,530270.9375266336,1145120.0,648.5,0,0,0,0,0,0,0,0,0,96,0,3.370712427458582,0.0,66,66,66.0,0.0,0.0,0,0,1,0,3,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,4,264,0,0,501,0,0,66,0,0,0,0,0,0,0,0,BENIGN
33764,6,1730015529261253.2,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,1,66,0,0,9,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015529724527.2,44870.25,6,4,2226,2902,1824,66,371.0,650.2017635575386,2696,66,725.5,1137.6733933779062,114285.07752909779,222.86481577437166,4487.025,7491.515140018405,22536.75,0.0,44870.25,8974.05,9994.74663560813,25015.0,153.0,28492.25,9497.416666666666,11875.19947610238,26262.5,260.75,2,1,0,0,168,136,133.718889464623,89.14592630974866,66,2696,512.8,895.286859056917,801538.5599999999,1,2,0,3,8,0,0,0,1.5,512.8,371.0,725.5,nan,nan,nan,nan,nan,nan,6,2226,4,2902,64240,65535,0,66,0,0,0,0,0,0,0,0,BENIGN
36816,6,1730015529785454.2,6992.0,3,1,210,130,78,66,70.0,5.656854249492381,130,130,130.0,0.0,48627.00228832952,572.0823798627002,1748.0,2678.3371007025985,6382.0,0.0,6992.0,3496.0,3191.5,6687.5,304.5,0,0,0,0,0,0,1,0,0,76,32,429.0617848970252,143.02059496567506,66,130,85.0,26.43860813280457,699.0,1,0,0,1,3,0,0,0,3.0,85.0,70.0,130.0,nan,nan,nan,nan,nan,nan,3,210,1,130,278,501,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015527922546.8,10081555.25,12,10,3322,2402,1946,66,276.8333333333333,518.1378248647319,1256,66,240.2,355.38987042401754,567.7695413115948,2.1822029889683936,458252.51136363635,2069334.5314052512,9940988.0,0.0,10081555.25,916505.0227272727,2860031.372488757,9960604.5,303.75,10059268.75,1117696.5277777778,3119564.8539002766,9940988.0,229.25,5,6,0,0,360,328,1.1902925394373056,0.9919104495310881,66,1946,260.1818181818182,451.86186911525357,204179.14876033057,1,2,0,11,20,0,0,0,1.2,260.1818181818182,276.8333333333333,240.2,nan,nan,nan,nan,nan,nan,12,3322,10,2402,64240,65160,0,66,0,0,0,0,0,0,0,0,BENIGN
58168,6,1730015538057055.5,5082.75,2,0,156,0,90,66,78.0,12.0,0,0,0,0,30692.04662830161,393.48777728591807,2541.375,2541.375,5082.75,0.0,5082.75,5082.75,0.0,5082.75,5082.75,0,0,0,0,0,1,0,0,0,32,0,393.48777728591807,0.0,66,90,78.0,12.0,144.0,1,0,0,1,1,0,0,0,0,78.0,78.0,0,nan,nan,nan,nan,nan,nan,2,156,0,0,501,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015538065441.8,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,0,54.0,54.0,0,nan,nan,nan,nan,nan,nan,1,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015538068410.0,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,0,54.0,54.0,0,nan,nan,nan,nan,nan,nan,1,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,BENIGN
